文章ID,作者,發布時間,愛心數,評論數,轉發數,瀏覽數,文章類型,文章內容,標籤
thread_1001,pass666666,23小時,5052,75,88,717,社會觀察,"我：「人體的脂肪可用來製造七磅肥皂，石灰量可粉刷一個小房間，碳的含量可製造20根鉛筆，碳的含量大約可製作2200根火柴，另外，還有約1釐的硫磺和1英兩的全屬跟鐵質，所以一個人體的價值其實不到一千元。」

學生：「那為什麼以前美國的黑人奴賣那麼貴？」

「哦！！！！」
（被全班阻止發言）",思考挑戰,社會議題,歷史反思
thread_1002,gorlysaga,19小時,2520,78,46,13,日常生活,"如果蘿蔔盞元之真的安全下肚，我真的會原地幫生成史詩黑輪🌝",美食,幽默,生活觀察
thread_1003,les_0701,7小時,296,1,0,4,人際關係,"在床上氣氛正好的時候，女友想緊頭髮，順手就捏走了我手腕上的髮圈

太本草綱的意識因為髮圈被A走星新焦點，自己沒有就找對方的，這真......聽聞？",日常,幽默,兩性關係
thread_1004,yosichn,7小時,375,1,23,29,人生感悟,"富你發現，有個人一直分享日常生活的時候，你要知道你現太了。

當你開始等一個人訊息的時候，你就證明知道你完了。",人生哲理,關係觀察,生活感悟
thread_1005,19wzzz,12小時,375,0,0,0,分享心得,"約會提示：

1. 男女對視如超過5秒，心軟品拍護一般難以抽制的愛意，90%的人會選擇親吾方。
2. 情侶間分享試題，愛情的溫度就超高，每一次分享都是愛意的傳遞。
3. 躍度要約正好讓對方很在乎的地引，可却軟輸才是健康情長久保銷的秘訣，能康相容的時光充滿笑聲讚。
4. 一起觀看恐怖片時，因突然而加速的心跳，會產生奇妙的帐迎效應，如同心動的離化器，讓愛意迄邁升上升。
5. 女生生理期時，若被溫柔撫摸，身體會分泌更多多巳胺內肌肥，那一劊的溫暖感繝緊不散。
6. 十指相扣人輕的描述，連喉太的概率都會大幅下降，突然相連的離子是愛情的爾回歌讚。",健康關係,愛情心得,兩性相處
thread_1006,hey__yang,23小時,3155,4,159,87,關係分享,"今天還在LINE好友時
漸到前任的對話框，最後一句話：「妳要好好的啊」

我看了一下，沒點開，也沒刪除

朋友說：「不夠，是還接不來；刚了，也不代表忘了。」

那一刺我才懂
分手真正難的，不是結束，是從回憶裡退場

有些愛，不是結束了了，是學會不打擊此。",關係感想,分手心情,情感分享
thread_1007,pts.news,31分鐘,1079,15,121,31,新聞,"南韓揭DeepSeek連用戶價值
傳送對象是TikTok母公司原下平台",新聞,科技,AI
thread_1008,anonymous,1小時,997,115,15,59,文字圖片,"打誰？
南韓打誰。
美國打誰。
誰也打誰。
誰也不會去打誰。
誰自己打自己。",國際關係,打誰文字梨,誰也不打誰
thread_1009,ting_desu_,15小時,976,1,121,37,日常生活,"晚安的意思是「我今天打烈了」。
只是對外補漸而已，比門不輕易沒有關係。",語言解釋,日常用語,台灣用語
thread_1010,unknown_user,未知,1748,18,14,34,圖片分享,"[圖片內容]",圖片,分享,社群
thread_1011,wanchiger,21小時,5104,71,75,470,獨特觀點,"早點結婚的好處：
難過的時候會比較年輕",婚姻,人生選擇,生活智慧
thread_1012,os2r_ufo,22小時,4278,33,304,507,幽默問答,"Q：歷史上最著名的下頭男是誰？
A：路易十六",幽默,歷史,社會評論
thread_1013,unknown_user,未知,1148,3,8,35,聊天內容,"[圖片內容顯示一則聊天記錄]
我的國中同學都已經要結婚了
再這樣下去要怎麼一起生小孩
你根本就沒有想跟我一起生活
結果到頭來還是這樣
革 你去南國生活都不剌喔",關係,互動,打實話
thread_1014,masters.degree.meme,20小時,1569,6,10,130,幽默分享,"⚠️ 即時消息 us

就在剛剛，美聯儲理事Waller表示：
失業率若離開上升，可能會導動加息快速

此話一出，美股三大指數在上演了一下📉",經濟,幽默,時事
thread_1015,jz_10_23,21小時,269,3,2,32,記分呱,"去電影院看取糖根本不是真正想看取糖好嗎
是想看 去看取的情境 取糖",電影,消費心理,品牌幽默
thread_1016,pts.news,22小時,2461,68,119,23,新聞,"🇹🇼 不只身分詩
藍委會在本中共「定民意」也將討論臺灣身分，完整報導👇",新聞,政治,獨立
thread_1017,bbeenn578,11小時,540,19,0,20,職場經驗,"劇進公司的新人說：

「我不在乎新水，只想成長。」
三個月後，他開始運到 ~ 訓導、滑手機。
我愛默在心裡留下一行字：
成長很費，他付不起。",職場,心得,小品
thread_1018,cavatw,3小時,241,15,0,684,新聞,"狂風30種鮮蝦！
20歲男醫朔30次
送醫麥見「蒙宵喘」",健康,食品安全,新聞
thread_1019,wanchiger,8小時,569,7,25,15,生活感想,"讓我困難的主因：沒錢
傳來對家刦的主因：傍貴",生活觀察,金錢品賢,人生品味
thread_1020,selina1312,18小時,151,14,0,275,圖片分享,"曾興誌的美學有事可考！",設計,雜誌,美學
